method,processing_time_sec,num_objects,foreground_ratio,iou,dice,pixel_accuracy
kmeans,0.44646126199995706,4,0.22291666666666668,0.996425055696596,0.9982093270703034,0.9992013888888889
region-growing,0.04391236900005424,1,0.04978877314814815,0.22320085093135475,0.36494554555191466,0.8267216435185185
edge,0.005842821999976877,4,0.22618055555555555,0.9862093668845706,0.9930568079350767,0.9968807870370371
mean-shift,0.5121454289999292,4,0.22302083333333333,0.9984962795882917,0.9992475740750351,0.9996643518518519
hybrid,0.28179427400004897,4,0.22613425925925926,0.9862079553741636,0.9930560923449537,0.9968807870370371
